first_party,second_party,facts,first_party_winner
Florida,Clayton Harris,"The State of Florida charged Clayton Harris with possession of pseudoephedrine with intent to manufacture methamphetamine At trial Harris moved to suppress evidence obtained during a warrantless search of his car Police searched the car during a traffic stop for expired registration when a drug detection dog alerted the officer This dog was trained to detect several types of illegal substances but not pseudoephedrine During the search the officer found over 200 loose pills and other supplies for making methamphetamine Harris argued that the dogs alert was false and did not provide probable cause for the search The trial court denied Harris motion holding that the totality of the circumstances indicated that there was probable cause to conduct the search The First District Court of Appeal affirmed but the Florida Supreme Court reversed holding that the State did not prove the dogs reliability in drug detection sufficiently to show probable cause
",True
Maetta Vance,Ball State University,"Maetta Vance began working for University Dining Services at Ball State University in 1989 as a substitute server She was the only AfricanAmerican working in the department Vance submitted a complaint to the University when a coworker used a racial epithet directed at her and AfricanAmerican students at the University The University issued the coworker a written warning but following a series of incidents that resulted in Vance reporting that she felt unsafe in her workplace the University investigated but found no basis for action On October 3 2006 Vance sued Ball State University in federal district court for lessening her work duties and ability to work overtime forcing her to work through her breaks and unjustly disciplining her After filing the suit Vance claimed her work environment continued to worsen but the Universitys investigations did not yield enough evidence to discipline anyone
The University moved for summary judgment The district court granted the motion and held that there was not enough evidence to prove a hostile work environment and that the University was not liable for the actions of individual coworkers Vance appealed and the US Court of Appeals for the Seventh Circuit affirmed the judgment of the lower court
",False
United States,"Edith Windsor, in her capacity as the executor of the estate of Thea Clara Spyer, et al.","The Defense of Marriage Act DOMA enacted in 1996 states that for the purposes of federal law the words marriage and spouse refer to legal unions between one man and one woman Since that time some states have authorized samesex marriage In other cases regarding the DOMA federal courts have ruled it unconstitutional under the Fifth Amendment but the courts have disagreed on the rationale
Edith Windsor is the widow and sole executor of the estate of her late spouse Thea Clara Spyer who died in 2009 The two were married in Toronto Canada in 2007 and their marriage was recognized by New York state law Thea Spyer left her estate to her spouse and because their marriage was not recognized by federal law the government imposed 363000 in taxes Had their marriage been recognized the estate would have qualified for a marital exemption and no taxes would have been imposed
On November 9 2010 Windsor filed suit in district court seeking a declaration that the Defense of Marriage Act was unconstitutional At the time the suit was filed the governments position was that DOMA must be defended On February 23 2011 the President and the Attorney General announced that they would not defend DOMA On April 18 2011 the Bipartisan Legal Advisory Group of the House of Representatives filed a petition to intervene in defense of DOMA and motioned to dismiss the case The district court denied the motion and later held that DOMA was unconstitutional The US Court of Appeals for the Second Circuit affirmed
",False
"Charles L. Ryan, Director Arizona Department of Corrections",Ernest Valencia Gonzales,"Ernest Valencia Gonzales was convicted for the murder of Darrel Wagner His conviction and death sentence became final on January 8 1996 Gonzalez exhausted his statecourt postconviction relief opportunities before challenging his conviction in federal court
In November 1999 Gonzales initiated a federal habeas proceeding which raised 60 claims for federal habeas relief including claims relating to Gonzales competence and ability to rationally communicate with his courtappointed attorneys The federal court stayed Gonzales execution pending resolution of those proceedings Ultimately the district court denied Gonzales motion for a competency hearing and a stay of proceedings Even though it determined that Gonzales was incompetent the court considered this irrelevant because Gonzales claims could not benefit from rational communication with counsel
Gonzales appealed to the US Court of Appeals for the Ninth Circuit It disagreed with the lower court and held that Gonzales was entitled to a stay pending a competency determination The Arizona Department of Corrections appealed
The related case Tibbals v Carter was a similar capital murder appeal from the US Court of Appeals for the Sixth Circuit Sean Carter the defendant was adjudged incompetent to assist his attorneys following his murder conviction The district court granted Carter a stay on his habeas corpus proceedings based on a right to competence in such proceedings After the appellate court affirmed the State appealed further and the Court granted certiorari to answer the same question as in Ryan v Gonzales
",True
"American Trucking Associations, Inc.","The City of Los Angeles, the Harbor Department of the City of Los Angeles, and the Board of Harbor Commissioners of the City of Los Angeles","In 1997 the Port of Los Angeles the Port introduced a plan to expand its cargo terminals to better accommodate its high shipping volume Following public concern that the plan could significantly increase air pollution the Board of Harbor Commissioners adopted a Clean Air Action Plan CAAP The CAAP aimed to reduce emissions and specifically targeted the Ports drayage truck business Roughly 16000 drayage trucks regularly serve the Port transporting goods between customers and the cargo terminals Beginning in 2008 the CAAP banned drayage trucks from the Port unless the carriers entered into a series of concession agreements These agreements imposed a progressive ban on older trucks and provided incentives for drayage truck operators to convert their aging fleets to cleaner trucks
American Trucking Associations ATA a national association of motor carriers challenged several provisions within the concession agreements and brought suit against the City of Los Angeles and its Harbor Department ATA argued that the Federal Aviation Administration Authorization Act FAAA preempted the agreements The FAAA Act prohibits a state from enacting any regulation related to the price route or service of any motor carrier ATA claimed that the concession agreements amounted to such a regulation ATA further argued that the State could not limit a federally licensed motor carriers access to a port
The district court disagreed with ATA and held that none of the provisions were preempted ATA appealed The United States Court of Appeals for the Ninth Circuit affirmed in part and reversed in part The appellate court determined that when the Port was acting as a market participant rather than a market regulator the FAAA Act did not apply ATA appealed to the Supreme Court of the United States which granted certiorari limited to the two questions below
",True
The Standard Life Insurance Co.,Greg Knowles,"On March 10 2010 Greg Knowles home was damaged in a hailstorm and he requested payment from his insurer Standard Fire Insurance Company for the full amount of the damage On April 13 2011 Knowles filed a class action lawsuit against Standard Fire Insurance Company alleging that he and others had been denied the full payment for damages that their contracts provided
According to the Class Action Fairness Act of 2005 CAFA defendants in a class action lawsuit can move the case to federal court if the potential damages exceed 5 million In the past plaintiffs have attempted to avoid federal jurisdiction by stipulating that the potential damages in a given case are worth less than 5 million and the US Court of Appeals for the Eighth Circuit has allowed such a stipulation
The defendant Standard Fire Insurance Company moved the case from the Miller County Circuit Court to the Western District of Arkansas The district court held that the plaintiffs stipulation that the potential damages were less than 5 million was sufficient to prove with legal certainty that was the case The US Court of Appeals for the Eighth Circuit affirmed
",True
Carolyn M. Kloeckner,"Hilda L. Solis, Secretary of Labor","Carolyn Kloeckner filed a complaint with the Equal Employment Opportunity Commission EEOC alleging hostile work environment as well as sex and age discrimination When her employer charged her with being absent without leave she amended her complaint to include retaliation Kloeckner never returned to work and eventually her employer terminated her Kloeckner challenged the termination while her initial complaint was still pending making it a mixed case Kloeckner appealed the termination to the Merit Systems Protection Board MSPB but then requested a dismissal so she could amend her EEOC complaint The MSPB granted the dismissal giving her a set period to refile
When the EEOC found there had been no discrimination or retaliation Kloeckner appealed the decision to the MSPB While the appeal was within 30 days of the EEOC decision it was 10 months after the refilling period set by the MSPB The MSPB dismissed the case as untimely Kloeckner filed an appeal in the District Court for the District of Columbia The case was removed to the District Court for the Eastern District of Missouri which held that the US Court of Appeals for the Fifth Circuit had exclusive jurisdiction because the MSPB had not ruled on the merits of the case
",True
Marvin Peugh,United States,"In 1996 Marvin Peugh and Steven Hollewell formed two companies the Grainary Inc which bought stored and sold grain and AgriTech Inc which provided custom farming services to landowners and tenants From January 1999 to August 2000 the two obtained bank loans by falsely representing future contracts and inflating the bank accounts by writing bad checks between the two accounts Peugh pleaded not guilty to all counts while Hollewell pleaded guilty to one count and agreed to testify against Peugh in exchange for the other charges being dropped After a jury trial Peugh was convicted on five counts of bank fraud At sentencing Peugh argued that he should be sentenced under the 1999 US Sentencing Guidelines that were in effect at the time of the offense rather than the 2009 Guidelines that were in effect at the time of sentencing He argued that use of the later Guidelines violated the Ex Post Facto Clause He was sentenced to 70 months in prison and he and Hollewell were jointly ordered to pay nearly 2 million The US Court of Appeals for the Seventh Circuit affirmed
",True
Carlos Trevino,"Rick Thaler, Director, Texas Department of Criminal Justice, Correctional Institutions Division","On the night of June 9 1996 Carlos Trevino and four others drove to a nearby store to pick up beer for a party One of the men noticed 15year old Linda Salinas and offered to drive her to a nearby restaurant Instead the group drove Linda to Espada Park in San Antonio Texas where they started to sexually assault her Trevinos cousin Juan Gonzalez refused to participate and returned to the car meanwhile Trevino and the three other men continued the assault Lindas body was discovered in the park the next day with fatal stab wounds to her neck
After their investigation the San Antonio Police arrested Trevino and a grand jury indicted him on one count of intentional murder and attempt to commit aggravated sexual assault At trial Trevinos cousin Gonzalez testified against him Gonzalez testified that the men returned to the car with blood on their shirts discussing the murder with Trevino bragging about how he learned to kill in prison With this evidence the jury found Trevino guilty and was left to decide on an appropriate punishment They determined that Trevino intended to kill Linda and was likely to commit such violent acts in the future At the jurys suggestion the trial court sentenced Trevino to death
Through both the punishment phase of the trial and the first state habeas corpus proceeding Trevinos attorney did not investigate or present any mitigating evidence that could have reduced Trevinos sentence During the federal habeas proceeding that followed Trevinos attorney withdrew and the court appointed new counsel Trevinos new counsel undertook his own investigation and discovered several pieces of evidence that the jury could have found relevant during the punishment phase of the trial
Trevino returned to state court and filed a second habeas corpus application on the basis that his first attorney had a duty to investigate and present the mitigating evidence Since the attorney failed to do so Trevino claimed that his Sixth Amendment right to a competent attorney had been denied The state court denied his application stating that Trevino should have presented the ineffective assistance of counsel claim during the first state habeas proceeding Trevino returned to the federal district court to reassert this claim but that court also denied his claim because it was never properly raised in state court The district court went on to explain that the allegedly ineffective performance of his first attorney during state habeas proceedings did not excuse his failure to present an ineffective assistance of counsel claim during those proceedings The United States Court of Appeals for the Fifth Circuit affirmed the district courts decision and Trevino appealed further The Supreme Court granted certiorari limited to the question below
",True
"City of Arlington, TX; City of San Antonio, TX",Federal Communications Commission,"Generally wireless phone service providers must obtain zoning approvals from state and local governments before building wireless towers or attaching wireless equipment to buildings To speed up the process Congress amended the 1934 Communications Act and required local governments to respond to zoning requests within a reasonable period of time Despite this law the zoning approval process still dragged on and severely delayed construction In 2008 the Wireless Association petitioned the Federal Communications Commission FCC to bring an end to these unreasonable delays The Association recommended placing time limits on how long these zoning requests could take The FCC agreed and in November 2009 set the following reasonable time limits for zoning requests 90 days for attachments to current buildings and a 150 days for new structures
The local governments claimed that the FCC cannot set these limits because the FCC cannot determine its own power under the Communications Act When Congress passed the Act it granted a certain amount of power to the FCC to enforce and define the rules under the Act Under the longstanding Chevron doctrine of interpretation courts should always defer to an agencys interpretation of a particular act However the Supreme Court had never determined whether this applies to situations where the agency defines its own power under a particular law The US Court of Appeals for the Fifth Circuit nevertheless deferred to the FCC and affirmed the declaratory ruling The local governments appealed to the Supreme Court which granted certiorari exclusively to answer whether the Chevron doctrine applies in this situation
",False
Nitro-Lift Technologies LLC,Eddie Lee Howard and Shane D. Schneider,"Eddie Lee Howard and Shane D Schneider worked for NitroLift Technologies LLC As a condition of employment they entered into confidentiality and noncompetition agreements that contained a clause requiring any dispute between NitroLift and its employees to be settled in arbitration When Howard and Schneider quit they went to work for one of NitroLifts competitors NitroLift demanded arbitration for breach of the noncompetition agreements Howard and Schneider sued in the District Court of Johnson County Oklahoma asking the court to declare their noncompetition agreements null and void The court dismissed the case holding that the agreements contained a valid arbitration clause so the arbitrator had to settle any dispute between the parties On appeal NitroLift cited several US Supreme Court cases interpreting the Federal Arbitration Act FAA noting that the law favoring arbitration applied in both federal and state cases Despite this the Oklahoma Supreme Court reversed holding that the existence of an arbitration clause did not prohibit judicial review of the underlying agreement The court went on to find the noncompetition agreements void and unenforceable as against Oklahomas public policy
",True
"United States Agency for International Development, et al.","Alliance for Open Society International, et al.","In 2003 Congress enacted the United States Leadership Against HIVAIDS Tuberculosis and Malaria Act the Act Through the Act Congress apportioned billions of dollars towards the funding of nongovernmental organizations NGOs involved in the fight against HIVAIDS NGOs qualify to receive this funding only if they satisfy certain conditions One of these conditions requires that all federally funded NGOs implement a policy explicitly opposing prostitution
The Alliance for Open Society International Inc Pathfinder International Global Health Council and InterAction are NGOs that receive funding under the Act The NGOs brought suit against the Agency for International Development and the other agencies responsible for enforcing the Act challenging the constitutionality of the Acts funding provisions The NGOs argued that the funding provisions violate the First Amendment by restricting the organizations speech and forcing them to promote the governments viewpoint on prostitution The district court agreed with the NGOs and held that the provisions were too broad of a restriction on free speech The agencies appealed and the United States Court of Appeals for the Second Circuit affirmed
",False
"Already, LLC","Nike, Inc.","Since 1982 Nike Inc sold a shoe called the Air Force 1 The shoe has a distinctive appearance and Nike owns multiple federal trademark registrations for the shoes design In July 2009 Nike filed suit against Already LLC for selling shoes that were confusingly similar to the Air Force 1 shoe In November 2009 Already counterclaimed and requested cancellation of Nikes trademark on the basis that it interfered with Alreadys ability to continue selling its shoes
To avoid further litigation Nike provided Already with a covenant not to sue The agreement promised that Nike would not pursue any legal action against Already with regard to trademark infringement The District Court held a hearing to determine whether the covenant caused the court to lose subject matter jurisdiction over Alreadys counterclaims Following the hearing the District Court determined that it no longer had subject matter jurisdiction and dismissed the case The US Court of Appeals for the Second Circuit affirmed the decision holding that the counterclaim alone did not create a case or controversy before the court therefore the court did not have subject matter jurisdiction over the claim
",False
Maryland,"Alonzo Jay King, Jr.","The Maryland DNA Collection Act MDCA allows state and local law enforcement officers to collect DNA samples from individuals who are arrested for a crime of violence an attempted crime of violence burglary or attempted burglary Alonzo Jay King Jr was arrested on first and second degree assault charges While under arrest but prior to conviction Kings DNA was collected and logged in Marylands DNA database That database matched Kings DNA to a DNA sample from an unsolved rape case This sample was the only evidence linking King to the rape The trial judge denied Kings motion to suppress the DNA evidence and he was convicted of firstdegree rape and sentenced to life in prison
King appealed the conviction arguing that the MDCA was an unconstitutional infringement of his Fourth Amendment privilege against warrantless searches The Court of Appeals of Maryland reversed holding that the MDCA was unconstitutional The court held that Kings expectation of privacy was greater than Marylands interest in using the DNA for identification purposes
",True
"Aldona Wos, Secretary, North Carolina Department of Health and Human Services","E. M. A., a Minor, By and Through Her Guardian ad Litem, Daniel H. Johnson, et al.","Emily M Armstrong daughter of Sandra and William Earl Armstrong was born on February 25 2000 She was seriously injured during her delivery resulting in mental retardation cerebral palsy and several other medical conditions Emilys mother applied for Medicaid two months after her daughters birth Since then the North Carolina state Medicaid program had paid over 19 million in medical expenses on Emilys behalf Emilys parents and guardian sued the physicians for negligently delivering their child and won a settlement of 28 million As a result the North Carolina Department of Health and Human Services DHHS placed a lien on Emilys settlement looking to recover some of the money it paid for Emilys health care services Under the North Carolina thirdparty liability statutes when a patient wins an award of medical expenses the DHHS has the right to recover either the total amount spent on the patients health care or one third of the patients recovery payment which ever is less
Emilys parents and guardian brought suit against the DHHS claiming that federal Medicaid law prevents the DHHS from taking her proceeds Federal law prohibits recovery from any payments not made for past medical expenses Since under North Carolina law a minor child is not allowed to recover for past medical expenses Emilys settlement could not include such expenses The United States District Court for the Western District of North Carolina disagreed with this argument and granted summary judgment to the state
The Armstrongs appealed and the United States Court of Appeals for the Fourth Circuit vacated the lower courts decision While the appellate court agreed with the lower court that the DHHS has the right to recover from Emilys settlement it remanded the case because the state failed to provide a mechanism for determining what part of a settlement covers past medical expenses Since the North Carolina statutes do not attempt to recover payment for past medical expenses they violate federal Medicaid law
",False
Steven A. Levin,"United States, et al.","On March 12 2003 Steven Levin was scheduled to undergo cataract surgery performed by Lieutenant Commander Frank Bishop MD a United States Navy surgeon in Guam Levin previously gave his written consent to the procedure but claims that he attempted to orally withdraw it prior to the surgery He suffered complications from the surgery and faces continuing treatment with unclear likelihood of success Levin sued Dr Bishop for battery and negligent medical malpractice The United States substituted itself for Dr Bishop and filed a motion for summary judgment The district court granted summary judgment for the negligent medical malpractice claim not the battery claim The United States then filed for dismissal of the battery claim and alleged that the Federal Tort Claims Act preserved sovereign immunity against battery claims The district court dismissed the claim The United States Court of Appeals for the Ninth Circuit affirmed
",True
United States,Anthony Davila,"In early 2010 Anthony Davila was tried for defrauding the federal government by filing false tax returns During a hearing before the magistrate judge Davila requested to discharge his courtappointed attorney Davila was concerned that the attorney had not discussed any possible trial strategies with him the attorney merely insisted that Davila plead guilty The magistrate judge explained to Davila that there might not be another viable option and that pleading guilty may be the best advice his attorney could have given him Following the judges advice Davila plead guilty and was subsequently sentenced to 115 months imprisonment
Davila appealed to the United States Court of Appeals for the Eleventh Circuit Davila argued that the magistrate judges advice to plead guilty warranted a new trial Under the Federal Rules of Criminal Procedure the court must not be involved in any plea discussions Since the judge commented on the weight of the evidence against Davila and suggested that a guilty plea would result in a more lenient sentence he participated in such a plea discussion As a result of this violation Davila claimed that the court should vacate the judgment The appellate court agreed with Davila vacated the judgment and remanded the case for further proceedings
",True
"Shelby County, Alabama","Eric Holder, Jr. Attorney General","The Fourteenth Amendment protects every persons right to due process of law The Fifteenth Amendment protects citizens from having their right to vote abridged or denied due to race color or previous condition of servitude The Tenth Amendment reserves all rights not granted to the federal government to the individual states Article Four of the Constitution guarantees the right of selfgovernment for each state
The Voting Rights Act of 1965 was enacted as a response to the nearly centurylong history of voting discrimination Section 5 prohibits eligible districts from enacting changes to their election laws and procedures without gaining official authorization Section 4b defines the eligible districts as ones that had a voting test in place as of November 1 1964 and less than 50 turnout for the 1964 presidential election Such districts must prove to the Attorney General or a threejudge panel of a Washington DC district court that the change neither has the purpose nor will have the effect of negatively impacting any individuals right to vote based on race or minority status Section 5 was originally enacted for five years but has been continually renewed since that time
Shelby County Alabama filed suit in district court and sought both a declaratory judgment that Section 5 and Section 4b are unconstitutional and a permanent injunction against their enforcement The district court upheld the constitutionality of the Sections and granted summary judgment for the Attorney General The US Court of Appeals for the District of Columbia Circuit held that Congress did not exceed its powers by reauthorizing Section 5 and that Section 4b is still relevant to the issue of voting discrimination
",True
Armarcion D. Henderson,United States,"Armarcion D Henderson pleaded guilty to being a felon in possession of a firearm in violation of federal law The sentencing guideline range was 3341 months but the judge sentenced Henderson to 60 months to ensure that he had the opportunity to enroll in the Bureau of Prisons drug program Henderson did not object to the sentence Eight days after sentencing Henderson filed a motion to correct the sentence The district court denied the motion
The US Court of Appeals for the Fifth Circuit affirmed holding that Henderson did not preserve the error for correction under the Federal Rules of Criminal Procedure so the court reviewed the decision for plain error Henderson did not show plain error because the error was not clear under current law at the time of trial The court of appeals denied a petition for rehearing en banc
",True
Roselva Chaidez,United States,"Roselva Chaidez came to the United States from Mexico in 1971 she became a lawful permanent resident in 1977 In 2003 she was indicted in the US District Court for the Northern District of Illinois on three counts of mail fraud in connection with an insurance scheme On the advice of her attorney Chaidez pleaded guilty and received a sentence of four years of probation The US government initiated removal proceedings in 2009 under a federal law that allows deportation of any alien who commits an aggravated felony Chaidezs attorney never told her that pleading guilty could lead to her deportation
Chaidez filed for a writ of coram nobis arguing ineffective assistance of counsel While this motion was pending before the district court the US Supreme Court issued its decision in Padilla v Kentucky holding that it is ineffective assistance of counsel when an attorney fails to advise a client that he or she may face deportation as a result of pleading guilty The district court concluded that Padilla did not announce a new rule so its holding applied to Chaidezs case The US Court of Appeals for the Seventh Circuit reversed holding that Padilla does announce a new rule and is not retroactively applicable in this case
",False
University of Texas Southwestern Medical Center,Naiel Nassar,"Dr Naiel Nassar who is of Middle Eastern descent was hired by the University of Texas Southwestern Medical Center UTSW in 1995 to work at the Amelia Court Clinic Clinic which specializes in HIVAIDS treatment After three years there he left to pursue additional training and returned in 2001 as an Assistant Professor of Internal Medicine and Infectious Diseases and Associate Medical Director of the Clinic His immediate supervisor at the Clinic was Dr Philip Keiser whose supervisor at UTSW was Dr Beth Levine After being hired in 2004 Levine immediately began inquiring into Nassars productivity and billing practices In 2005 after interviewing a candidate who was of Middle Eastern descent Levine stated in Nassars presence Middle Easterners are lazy In 2006 after hiring the candidate Levine made a similar statement in Keisers presence Keiser informed Nassar of these comments as well as the fact that Levine scrutinized Nassars productivity more than any other doctor Around this time Nassar applied for a promotion that Levine actively undermined In 2006 Nassar resigned from the UTSW faculty and cited Levines harassment and the creation of an unhealthy work environment in his resignation letter Nassar resigned with the understanding that he would be offered a position at the Amelia Court Clinic unaffiliated with the UTSW but the Clinic was forced to withdraw its offer after heavy opposition from the UTSW faculty who have an agreement with the Clinic regarding positions to be filled by faculty doctors
In 2008 Nassar sued UTSW under Title VII of the Civil Rights Act of 1964 and argued that UTSW had constructively discharged and retaliated against him The jury found in favor of Nassar and awarded him back pay and compensatory damages The US Court of Appeals for the Fifth Circuit affirmed in part and reversed in part holding that there was sufficient evidence to support the retaliation claim but insufficient evidence to support the claim of constructive discharge
",True
"Marc J. Gabelli, et al.",Securities Exchange Commission,"Defendant Mark Gabelli was the portfolio manager for the Gabelli Global Growth Fund GGGF as well as several affiliated funds from 1997 until 2004 Defendant Bruce Alpert had been the Chief Operating Officer of Gabelli Funds a company that advises GGGF since 1988 Beginning in 1999 Gabelli permitted another company Headstart to engage in markettime trading with GGGF Markettime trading is premised on the fact that price movements during the New York trading day can cause corresponding movements in the international markets that will not be incorporated into new stock prices until the following day Traders can then buy and sell at artificially low and high prices respectively By early 2002 Alpert became concerned about the effects of markettiming and instructed Headstart to reduce the number of those transactions On August 7 2002 Gabelli announced that all markettiming must stop and Headstart pulled its money from GGGF
On September 3 2003 the New York Attorney General announced an inquiry into markettiming On April 24 2008 the SEC sued the defendants and alleged that Gabelli and Alpert knew of Headstarts markettiming but deliberately mislead GGGFs Board and shareholders in violation of the Securities and Exchange Act of 1934 The district court dismissed the SECs claims for failure to bring the suit within the fiveyear statute of limitations and the SEC appealed The United States Court of Appeals for the Second Circuit reversed
",True
Coy Koontz,St. John's River Water Management,"In 1994 Coy A Koontz requested a permit from St Johns River Water Management to develop more of his land than the original permit allowed St Johns had jurisdiction over Koontzs land St Johns agreed to issue the permit on the condition that Koontz deed the rest of his property into a conservation area and do some mitigation work on the surrounding areas Koontz agreed to the deed but not to the mitigation work St Johns denied the permit application
Koontz sued St Johns River Water Management and the trial court found in favor of Koontz A Florida trial court held that St Johns actions effected a taking of Koontz land and that imposing requirements for the issuance of a permit is only constitutional if the required action serves the same governmental purpose as the ban on development Floridas Fifth District Court of Appeal affirmed The Supreme Court of Florida reversed
",True
Steven Lefemine dba Columbia Christians for Life,Dan Wideman et al.,"Steven Lefemine and Members of the Columbia Christians for Life engaged in pro life demonstrations where they carry posters featuring graphic pictures of aborted fetuses During a protest in Greenwood South Carolina police officers told Lefemine that he would be ticketed for a breach of the peace if he did not discard the posters Lefemine objected arguing that the police officers were infringing on his First Amendment right to free speech but he eventually disbanded the group A year later Lefemines attorney sent a letter to Dan Wideman sheriff of Greenwood County informing him that the group would be protesting again on the same site with the posters The police reiterated that they would ticket the group if they showed up with the offending posters The group decided not to protest but two years later Lefamine filed a complaint alleging First Amendment violations and seeking nominal damages a declaratory judgment a permanent injunction and attorneys fees
Under the Civil Rights Attorney Fees Act the prevailing party in a suit may recover attorney fees from the opposing party The district court issued a permanent injunction against the police officers but declined to award money damages The court also denied attorney fees holding that attorney fees were not warranted The US Court of Appeals for the Fourth Circuit affirmed holding that Lefemine was not a prevailing party under the Act The court reasoned that the injunction did not alter the relative positions of the parties so no party actually prevailed
",True
"Doug Decker, in his official capacity as Oregon State Forester, et al.","Northwest Environmental Defense Center, et al.","Two logging roads in Oregon Trask River Road and Sam Downs Road are owned by the Oregon Department of Forestry and the Oregon Board of Forestry The roads are used primarily by various logging companies These roads run parallel to rivers and use a series of ditches culverts and channels to direct storm water runoff into the nearby rivers This runoff deposits large amounts of sediment in the rivers which adversely affects the fish and other wildlife that relies on the water
The Northwest Environmental Defense Center NEDC sued the Oregon State Forester the Oregon Board of Forestry and several timber companies The NEDC alleged that since the runoff ditches and channels can be defined as point sources the petitioners violated the Clean Water Act by failing to obtain permits under the National Pollutant Discharge Elimination System In district court the petitioners moved for dismissal by arguing that the runoff was exempt from the permits The district court granted the motion The NEDC appealed the case to the United States Court of Appeals for the Ninth Circuit which reversed the decision based on precedent that supported the NEDC interpretation of both the point source and the permit requirement
",True
Missouri,Tyler G. McNeely,"On October 3 2010 Missouri state police officer Mark Winder saw Tyler McNeely driving above the speed limit When Winder followed McNeely to pull him over he saw McNeely cross the center line three times Upon making contact with McNeely Wilder observed that his eyes were red and glassy and that his breath smelled like alcohol McNeely performed poorly on four field sobriety tests and refused to submit to a portable breath test Wilder arrested McNeely for driving while intoxicated and transported him to a hospital to obtain a blood sample Wilder read McNeely the Missouri Implied Consent statement and McNeely still refused to submit the sample Wilder ordered the sample taken anyway and the blood test revealed McNeelys blood alcohol level was far above the legal limit
The state charged McNeely with driving while intoxicated and McNeely moved to suppress the evidence of the blood sample because it was obtained without a warrant The trial court granted the defendants motion The state appealed and argued that the risk of McNeelys blood alcohol level decreasing over time represented an exigent circumstance requiring a blood draw The Missouri Court of Appeals held that the trial court erred but that the case represented a departure from current case law it transferred the case to the Missouri Supreme Court The Supreme Court of Missouri affirmed the trial courts decision
",False
Jacqueline Hillman,Judy A. Maretta,"In December 1996 Warren Hillman made his wife Judy Maretta the beneficiary of his Federal Employees Group Life Insurance FEGLI policy In 1998 the two divorced and Mr Hillman remarried Despite the divorce Mr Hillman never changed the beneficiary designation on his policy to his new wife Jacqueline Hillman In 2008 Warren died and Jacqueline Hillman attempted to claim the death benefits under his policy Her claim was denied because she was not the named beneficiary on her husbands policy Ms Maretta received the death benefits instead Mrs Hillman sued Ms Maretta for the full amount of death benefits under the policy
When a divorce is finalized in Virginia state law revokes any beneficiary designations between former spouses State law also creates a cause of action against anyone who wrongfully receives FEGLI policy proceeds However federal law under the Federal Employees Group Life Insurance Act dictates that death benefits from FEGLI policies shall go to the designated beneficiary regardless of state regulation to the contrary The trial court applied state law and granted summary judgment to Mrs Hillman but Ms Maretta appealed The Supreme Court of Virginia reversed the lower courts decision and held that federal law preempted the state law therefore Mr Hillmans beneficiary designation was not revoked Mrs Hillman appealed to the Supreme Court of the United States
",False
Kim Millbrook,United States,"Kim Millbrook was an inmate at the United States Penitentiary Lewisburg Pennsylvania Millbrook alleges that a correctional officer took him to the basement of the Special Management Unit and sexually assaulted him while other officers stood by Millbrook filed a complaint under the Federal Tort Claims Act FTCA alleging sexual assault Under 28 USC 2680h the United States is not liable for the intentional torts of its employees except for certain torts committed by law enforcement officials Pooler v United States 787 F2d 868 1986 limited claims that arise under 2680h to intentional torts by a law enforcement officer while executing a search seizing evidence or making arrests for violations of federal law The district court granted summary judgment in favor of the United States holding that Millbrooks claim was precluded by Pooler The US Court of Appeals for the Third Circuit affirmed noting that the definition of seizure is limited to seizure of evidence
",True
"Jerry Gunn, et al.",Vernon Minton,"In the early 1990s Vernon Minton a former securities broker developed the Texas Computer Exchange Network TEXCEN software that allowed financial traders to execute trades on their own RM Stark amp Co Stark agreed to lease TEXCEN More than one year later Minton filed for a patent that was granted by the United States Patent and Trademark Office on January 11 2000
Minton later sued the NASDAQ and the National Association of Securities Dealers NASD and alleged that their services infringed on his patent NASD and NASDAQ argued that a patent is invalid when the invention claimed is sold more than a year before the patent application is filed The district court granted summary judgment for NASD and NASDAQ Minton retained new counsel to argue his case under the experimental use exception which states that the patent remains valid if the invention was sold primarily for experimental rather than commercial use He filed a motion for reconsideration which the district court denied The United States Court of Appeals for the Federal Circuit affirmed
Minton sued his original attorneys collectively referred to as Gunn for legal malpractice and argued that their failure to argue the experimental use exception in the original suit cost him the case Gunn filed for summary judgment arguing noevidence due to the fact that the attorneys did not know of the earlier sale in order for the experimental use exception to be relevant The trial court granted summary judgment in favor of Gunn Minton appealed to the Second Court of Appeals for Texas Shortly after he filed his appeal the United States Court of Appeals for the Federal Circuit decided a case that gave jurisdiction to the federal courts in malpractice suits arising from patent litigation Minton filed a motion to dismiss his case from the Second Court of Appeals for Texas but the court denied his motion and affirmed the decision of the trial court The Supreme Court of Texas reversed and dismissed the case
",True
